tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,genre1,genre2,genre3,url,averageRating,numVotes,metascore,country,primary_language,color,budget,opening_weekend_usa,gross_usa,cumulative_worldwide,tagline,summary,image_url
tt0083866,movie,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,0,1982,,115.0,"Family,Sci-Fi",Family,Sci-Fi,,https://www.imdb.com/title/tt0083866,7.8,370513,91,USA,English,Color,"$10,500,000","$11,835,389,","$435,110,554","$792,910,554",He is afraid. He is alone. He is three million light years from home.,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,"https://m.media-amazon.com/images/M/MV5BMTQ2ODFlMDAtNzdhOC00ZDYzLWE3YTMtNDU4ZGFmZmJmYTczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0083907,movie,The Evil Dead,The Evil Dead,0,1981,,85.0,Horror,Horror,,,https://www.imdb.com/title/tt0083907,7.5,186649,71,USA,English,Color,"$350,000",,"$2,400,000","$2,955,571",They got up on the wrong side of the grave.,"Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.","https://m.media-amazon.com/images/M/MV5BODc2MmVjZmUtNjAzMS00MDNiLWIyM2YtOGEzMjg0YjRhMzRmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0083922,movie,Fanny and Alexander,Fanny och Alexander,0,1982,,188.0,Drama,Drama,,,https://www.imdb.com/title/tt0083922,8.1,57404,100,Sweden,Swedish,Color,"$6,000,000",,"$6,783,304","$6,795,771",En film av Ingmar Bergman,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.","https://m.media-amazon.com/images/M/MV5BZmQzMDE5ZWQtOTU3ZS00ZjdhLWI0OTctZDNkODk4YThmOTRhL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0083929,movie,Fast Times at Ridgemont High,Fast Times at Ridgemont High,0,1982,,90.0,"Comedy,Drama",Comedy,Drama,,https://www.imdb.com/title/tt0083929,7.2,93934,61,USA,English,Color,"$4,500,000","$2,545,674,","$27,092,880","$27,092,880","Hey Bud, Let's Party! [DVD]","A group of Southern California high school students are enjoying their most important subjects: sex, drugs, and rock n' roll.","https://m.media-amazon.com/images/M/MV5BYzBlZjE1MDctYjZmZC00ZTJmLWFkOWEtYjdmZDZkODBkZmI2XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0083943,movie,Firefox,Firefox,0,1982,,136.0,"Action,Adventure,Thriller",Action,Adventure,Thriller,https://www.imdb.com/title/tt0083943,6.0,25051,44,USA,English,Color,"$18,000,000","$8,152,948,","$46,708,276","$46,708,276",...the most devastating killing machine ever built... his job... steal it!,A pilot is sent into the Soviet Union on a mission to steal a prototype jet fighter that can be partially controlled by a neuralink.,"https://m.media-amazon.com/images/M/MV5BM2UxY2EwY2MtYmQ0ZC00NzE4LWFlNTctMWM3ZjQ5ZDE5ZGUxXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0083944,movie,First Blood,First Blood,0,1982,,93.0,"Action,Adventure",Action,Adventure,,https://www.imdb.com/title/tt0083944,7.7,225229,61,USA,English,Color,"$15,000,000","$6,642,005,","$47,212,904","$125,212,904",One war against one man.,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,"https://m.media-amazon.com/images/M/MV5BODBmOWU2YWMtZGUzZi00YzRhLWJjNDAtYTUwNWVkNDcyZmU5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0083946,movie,Fitzcarraldo,Fitzcarraldo,0,1982,,158.0,"Adventure,Drama",Adventure,Drama,,https://www.imdb.com/title/tt0083946,8.1,31401,,West Germany,German,Color,,,,"$2,874",,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.","https://m.media-amazon.com/images/M/MV5BYjIzNTYxMTctZjAwNS00YzI3LWExMGMtMGQxNGM5ZTc1NzhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0083972,movie,Friday the 13th Part III,Friday the 13th Part III,0,1982,,95.0,"Horror,Thriller",Horror,Thriller,,https://www.imdb.com/title/tt0083972,5.7,47513,30,USA,English,Color,"$2,300,000","$9,406,522,","$36,690,067","$36,690,067",A New Dimension In Terror...,"Having revived from his wounds, Jason Voorhees takes refuge at a cabin near Crystal Lake. As a group of co-eds arrive for their vacation, Jason continues his killing spree.","https://m.media-amazon.com/images/M/MV5BZjRiMTdlY2QtZGE3YS00YjQzLTk5MmUtNjVjMjUzYWRiMWNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0083987,movie,Gandhi,Gandhi,0,1982,,191.0,"Biography,Drama,History",Biography,Drama,History,https://www.imdb.com/title/tt0083987,8.0,217132,79,UK,English,Black and White,"$22,000,000","$131,153,","$52,767,889","$52,767,889",The Man of the Century. The Motion Picture of a Lifetime.,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,"https://m.media-amazon.com/images/M/MV5BMzJiZDRmOWUtYjE2MS00Mjc1LTg1ZDYtNTQxYWJkZTg1OTM4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0084021,movie,Grease 2,Grease 2,0,1982,,115.0,"Comedy,Drama,Musical",Comedy,Drama,Musical,https://www.imdb.com/title/tt0084021,4.4,32708,52,USA,English,Color,"$13,200,000","$4,645,411,","$15,171,476","$15,171,476",Grease is still the word!,A British student at a 1960s American high school must prove himself to the leader of a girls' gang whose members can only date greasers.,"https://m.media-amazon.com/images/M/MV5BMjViYmViYzAtNzAxOC00YWM2LTg4M2YtZmQzYWJhZTQzMzkyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0084434,movie,An Officer and a Gentleman,An Officer and a Gentleman,0,1982,,124.0,"Drama,Romance",Drama,Romance,,https://www.imdb.com/title/tt0084434,7.0,49394,75,USA,English,Color,"$7,500,000","$3,304,679,","$129,795,554","$129,795,554",His struggle...Her love...The fight for their future.,"A young man must complete his work at a Navy Officer Candidate School to become an aviator, with the help of a tough Gunnery Sergeant and his new girlfriend.","https://m.media-amazon.com/images/M/MV5BNTM5NmY2MTktODRiMS00NTQwLTk2ODEtZTFhYjAyMTZmMTc5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0084503,movie,Pink Floyd: The Wall,Pink Floyd: The Wall,0,1982,,95.0,"Drama,Fantasy,Music",Drama,Fantasy,Music,https://www.imdb.com/title/tt0084503,8.1,75809,47,UK,English,Color,"$12,000,000",,"$22,244,207","$22,265,763","The Music, The Nightmares, The Motion Picture",A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,"https://m.media-amazon.com/images/M/MV5BZDhlZTYxOTYtYTk3Ny00ZDljLTk3ZmItZTcxZWU5YTIyYmFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0084516,movie,Poltergeist,Poltergeist,0,1982,,114.0,"Horror,Thriller",Horror,Thriller,,https://www.imdb.com/title/tt0084516,7.3,143977,79,USA,English,Color,"$10,700,000","$6,896,612,","$77,142,388","$77,142,388",It knows what scares you.,A family's home is haunted by a host of demonic ghosts.,"https://m.media-amazon.com/images/M/MV5BNzliZmRlYTctYmNkYS00NzE5LWI1OWQtMTRiODY5MDMwMTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0084522,movie,Porky's,Porky's,0,1981,,94.0,Comedy,Comedy,,,https://www.imdb.com/title/tt0084522,6.2,38299,40,Canada,English,Color,"$2,500,000","$7,623,988,","$111,289,673","$111,289,673",Keep an eye out for the funniest movie about growing up ever made!,"In 1954, a group of Florida high-school guys try to help their buddy lose his virginity, which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them.","https://m.media-amazon.com/images/M/MV5BZTI1MWJhNDgtNDdmNi00ZTI3LTk0NmQtODUyNzMyNmY3Zjk5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0084602,movie,Rocky III,Rocky III,0,1982,,99.0,"Drama,Sport",Drama,Sport,,https://www.imdb.com/title/tt0084602,6.8,173545,57,USA,English,Color,"$17,000,000","$12,431,486,","$125,049,125","$125,052,686",The legend continues...The Italian Stallion is back!!,"After winning the ultimate title and being the world champion, Rocky falls into a hole and finds himself picked up by a former enemy.","https://m.media-amazon.com/images/M/MV5BMTMyOTYzMDMzMF5BMl5BanBnXkFtZTcwMTkzODM1NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0084649,movie,The Secret of NIMH,The Secret of NIMH,0,1982,,82.0,"Adventure,Animation,Drama",Adventure,Animation,Drama,https://www.imdb.com/title/tt0084649,7.6,36104,76,USA,English,Color,"$7,000,000","$386,530,","$14,665,733","$14,665,733","A world of fantasy, adventure and excitement opens up for Mrs Brisby when she discovers... The Secret of NIMH.","To save her ill son, a field mouse must seek the aid of a colony of rats, with whom she has a deeper link than she ever suspected.","https://m.media-amazon.com/images/M/MV5BNDJlM2E1M2QtNTVmNi00MzNhLTlmZTgtMGM0YjYzYzhjM2JmXkEyXkFqcGdeQXVyNTkxMzEwMzU@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0084707,movie,Sophie's Choice,Sophie's Choice,0,1982,,150.0,"Drama,Romance",Drama,Romance,,https://www.imdb.com/title/tt0084707,7.6,41974,68,UK,English,Color,"$12,000,000","$202,131,","$30,036,000","$30,036,000","Between the innocent, the romantic, the sensual, and the unthinkable. There are still some things we have yet to imagine.","Sophie is the survivor of Nazi concentration camps, who has found a reason to live with Nathan, a sparkling if unsteady American Jew obsessed with the Holocaust.","https://m.media-amazon.com/images/M/MV5BMTk3NDUyYTEtMzkyZi00YjMzLTkwMDUtYWMzNjIwNmM5NWQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0084726,movie,Star Trek II: The Wrath of Khan,Star Trek II: The Wrath of Khan,0,1982,,113.0,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,https://www.imdb.com/title/tt0084726,7.7,112327,67,USA,English,Color,"$11,200,000","$14,347,221,","$78,912,963","$78,912,963",Prepare Yourself For Warp-10 Excitement!,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.","https://m.media-amazon.com/images/M/MV5BMzcyYWE5YmQtNDE1Yi00ZjlmLWFlZTAtMzRjODBiYjM3OTA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0084787,movie,The Thing,The Thing,0,1982,,109.0,"Horror,Mystery,Sci-Fi",Horror,Mystery,Sci-Fi,https://www.imdb.com/title/tt0084787,8.1,369275,57,USA,English,Color,"$15,000,000","$3,107,897,","$19,629,760","$19,632,053",The ultimate in alien terror.,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"https://m.media-amazon.com/images/M/MV5BNGViZWZmM2EtNGYzZi00ZDAyLTk3ODMtNzIyZTBjN2Y1NmM1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0084805,movie,Tootsie,Tootsie,0,1982,,116.0,"Comedy,Drama,Romance",Comedy,Drama,Romance,https://www.imdb.com/title/tt0084805,7.4,97475,88,USA,English,Color,"$21,000,000","$5,540,470,","$177,200,000","$177,200,000","Desperate, he took a female role and became a star. If only he could tell the woman he loves.","Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.","https://m.media-amazon.com/images/M/MV5BMTY4MGJjMTktNGM4Ni00ODliLWJlYjQtNjc4NmY2NjQ3NzEzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0084827,movie,TRON,TRON,0,1982,,96.0,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,https://www.imdb.com/title/tt0084827,6.8,112904,58,USA,English,Color,"$17,000,000","$4,761,795,","$33,000,000","$33,000,000",The Electronic Gladiator,A computer hacker is abducted into the digital world and forced to participate in gladiatorial games where his only chance of escape is with the help of a heroic security program.,"https://m.media-amazon.com/images/M/MV5BMzZhNjYyZDYtZmE4MC00M2RlLTlhOGItZDVkYTVlZTYxOWZlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0084855,movie,The Verdict,The Verdict,0,1982,,129.0,Drama,Drama,,,https://www.imdb.com/title/tt0084855,7.7,35874,77,USA,English,Color,"$16,000,000","$100,982,","$53,977,250","$53,993,738",Frank Galvin Has One Last Chance At A Big Case.,A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,"https://m.media-amazon.com/images/M/MV5BMTU5MzMwMzAzM15BMl5BanBnXkFtZTcwNjYyMjA0Mg@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0084967,tvSeries,The A-Team,The A-Team,0,1983,1987.0,60.0,"Action,Adventure,Crime",Action,Adventure,Crime,https://www.imdb.com/title/tt0084967,7.5,34053,,USA,English,Color,,,,,Heroes for hire.,"Four Vietnam vets, framed for a crime they didn't commit, help the innocent while on the run from the military.","https://m.media-amazon.com/images/M/MV5BMzI0MjI1NjU5OF5BMl5BanBnXkFtZTcwNzg5NDUyMQ@@._V1_UY268_CR7,0,182,268_AL_.jpg"
tt0084988,tvSeries,Blackadder,The Black Adder,0,1982,1983.0,195.0,Comedy,Comedy,,,https://www.imdb.com/title/tt0084988,8.1,35591,,UK,English,Color,,,,,The most gripping sitcom since 1380.,"In the Middle Ages, Prince Edmund the Black Adder constantly schemes and endeavors to seize the crown from his father and brother.","https://m.media-amazon.com/images/M/MV5BNDY5OTA1OTkxNV5BMl5BanBnXkFtZTYwMTI1NzU5._V1_UY268_CR2,0,182,268_AL_.jpg"
tt0085244,movie,The Big Chill,The Big Chill,0,1983,,105.0,"Comedy,Drama",Comedy,Drama,,https://www.imdb.com/title/tt0085244,7.2,32768,61,USA,English,Color,"$8,000,000","$3,662,152,","$56,399,659","$56,399,659","In a cold world, you need your friends to keep you warm!",A group of seven former college friends gather for a week-end reunion at a South Carolina vacation home after the funeral of another of their college friends.,"https://m.media-amazon.com/images/M/MV5BMTA4MjEyMTk5NzheQTJeQWpwZ15BbWU4MDY1NDA1MTAx._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0085333,movie,Christine,Christine,0,1983,,110.0,"Horror,Thriller",Horror,Thriller,,https://www.imdb.com/title/tt0085333,6.7,72195,57,USA,English,Color,"$9,700,000","$3,408,904,","$21,017,849","$21,017,849","She was born bad. Plain and simple. Somewhere deep on a darkened assembly line. Christine. A '58 Plymouth Fury possessed by Hell. She's taken control of her teenage owner, Arnie. Her previous owner is not alive to warn him. And now she's steering straight for the one person in her way. Arnie's girlfriend, Leigh. The other woman.",A nerdish boy buys a strange car with an evil mind of its own and his nature starts to change to reflect it.,"https://m.media-amazon.com/images/M/MV5BZThhNDQxNzAtOTYzZC00MzZkLWI2YjItOTE2ZjliZDY3NTFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0085334,movie,A Christmas Story,A Christmas Story,0,1983,,93.0,"Comedy,Family",Comedy,Family,,https://www.imdb.com/title/tt0085334,7.9,132475,77,USA,English,Color,"$3,300,000","$2,072,473,","$20,640,209","$20,653,717",Sometimes Christmas is about getting what you really want.,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.","https://m.media-amazon.com/images/M/MV5BOWMyNjE0MzEtMzVjNy00NjIxLTg0ZjMtMWJhNGI1YmVjYTczL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0085382,movie,Cujo,Cujo,0,1983,,93.0,"Horror,Thriller",Horror,Thriller,,https://www.imdb.com/title/tt0085382,6.1,39564,57,USA,English,Color,"$5,000,000","$6,114,899,","$21,156,152","$21,156,152",From Stephen King's novel comes a chilling tale of a quiet New England town and a horrible evil in the dead of Summer,"Cujo, a friendly St. Bernard, contracts rabies and conducts a reign of terror on a small American town.","https://m.media-amazon.com/images/M/MV5BMjI2MDU1MTk5NV5BMl5BanBnXkFtZTgwODA2MDE3MTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0085407,movie,The Dead Zone,The Dead Zone,0,1983,,103.0,"Drama,Horror,Sci-Fi",Drama,Horror,Sci-Fi,https://www.imdb.com/title/tt0085407,7.2,62033,69,USA,English,Color,"$10,000,000","$4,556,083,","$20,766,616","$20,766,616","In his mind, he has the power to see the future.  In his hands, he has the power to change it.",A man awakens from a coma to discover he has a psychic ability.,"https://m.media-amazon.com/images/M/MV5BMDk2ZGVkY2UtZGE0MS00NTY1LThiZjYtYjQxMTAwMjM5M2VlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0085549,movie,Flashdance,Flashdance,0,1983,,95.0,"Drama,Music,Romance",Drama,Music,Romance,https://www.imdb.com/title/tt0085549,6.2,47596,39,USA,English,Color,"$4,000,000","$4,076,124,","$92,921,203","$92,921,203","Every day, she works in a man's world. Every night, she dances through the universe that is her dream.",A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.,"https://m.media-amazon.com/images/M/MV5BMjA5NjE2OTUxOF5BMl5BanBnXkFtZTgwNDE1NDIxMDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0085636,movie,Halloween III: Season of the Witch,Halloween III: Season of the Witch,0,1982,,98.0,"Horror,Mystery,Sci-Fi",Horror,Mystery,Sci-Fi,https://www.imdb.com/title/tt0085636,5.0,43755,50,USA,English,Color,"$2,500,000","$6,333,259,","$14,400,000","$14,400,000",...and now the earth will run with blood again!,Kids all over America want Silver Shamrock masks for Halloween. Doctor Daniel Challis seeks to uncover a plot by Silver Shamrock owner Conal Cochran.,"https://m.media-amazon.com/images/M/MV5BN2YzYjI0MWYtYWUyZS00ZDQ4LWEzN2EtMDU4NDJmNjA2ZWFiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0085750,movie,Jaws 3-D,Jaws 3-D,0,1983,,99.0,"Adventure,Horror,Thriller",Adventure,Horror,Thriller,https://www.imdb.com/title/tt0085750,3.7,39696,27,USA,English,Color,"$20,500,000","$13,422,500,","$45,517,055","$87,987,055",Reaching new depths of terror.,A giant thirty-five-foot shark becomes trapped in a SeaWorld theme park and it's up to the sons of police chief Brody to rescue everyone.,"https://m.media-amazon.com/images/M/MV5BM2QwYjhiMzQtN2RiYS00MzgxLThmNzItMmJlNmMyMmQyYTA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0085794,movie,The King of Comedy,The King of Comedy,0,1982,,109.0,"Comedy,Crime,Drama",Comedy,Crime,Drama,https://www.imdb.com/title/tt0085794,7.8,87572,73,USA,English,Color,"$20,000,000","$137,624,","$2,536,242","$2,536,242","Nobody knows Rupert Pupkin, but by 11:30 tonight, the whole world will know he's . . . THE KING OF COMEDY . . and when it's all over one of them won't be laughing","Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.","https://m.media-amazon.com/images/M/MV5BMTViNjlkYjgtMmE3Zi00ZGVkLTkyMjMtNzc3YzAwNzNiODQ1XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0085809,movie,Koyaanisqatsi,Koyaanisqatsi,0,1982,,86.0,"Documentary,Music",Documentary,Music,,https://www.imdb.com/title/tt0085809,8.3,35187,72,USA,None,Color,,,"$1,723,872","$1,723,872","October 4, 1982. More than 5,000 people filled the sold out Radio City Music Hall to experience a remarkable film event. That event was the world premiere of KOYAANISQATSI. Now everyone can share the power of that experience.","A collection of expertly photographed phenomena with no conventional plot. The footage focuses on nature, humanity and the relationship between them.","https://m.media-amazon.com/images/M/MV5BZjlmMWVhYjQtNTZmOC00OTE4LWIxMGItOTg2OTlkZTZkYmI2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR4,0,182,268_AL_.jpg"
tt0085811,movie,Krull,Krull,0,1983,,116.0,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,https://www.imdb.com/title/tt0085811,6.1,30233,45,UK,English,Color,"$47,000,000","$5,469,415,","$16,916,617","$16,916,617",A world light-years beyond your imagination.,A prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet.,"https://m.media-amazon.com/images/M/MV5BMDAwM2MyNmMtYTljMi00ZDJiLWJmOTktYjMzNGE3OGZiNTc2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0085959,movie,The Meaning of Life,The Meaning of Life,0,1983,,107.0,"Comedy,Musical",Comedy,Musical,,https://www.imdb.com/title/tt0085959,7.5,113620,,UK,English,Color,"$9,000,000","$1,987,853,","$14,929,552","$14,949,697","What it is, Where it is, and how to avoid treading in it [Video Australia]",The comedy team takes a look at life in all of its stages in their own uniquely silly way.,"https://m.media-amazon.com/images/M/MV5BZWJkNGY5MDAtYmVkMy00NzdiLTk5MzctMzA0MjMxMDY2NGYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0085995,movie,National Lampoon's Vacation,National Lampoon's Vacation,0,1983,,98.0,"Adventure,Comedy",Adventure,Comedy,,https://www.imdb.com/title/tt0085995,7.4,96993,55,USA,English,Color,"$15,000,000","$8,333,358,","$61,399,552","$61,399,552",Every summer Chevy Chase takes his family on a little trip. This year he went too far.,The Griswold family's cross-country drive to the Walley World theme park proves to be much more arduous than they ever anticipated.,"https://m.media-amazon.com/images/M/MV5BMmViMGQ4ZDktNzI3OC00YjVkLWJmZDgtOTI4N2FhNjhjNDVjXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0086006,movie,Never Say Never Again,Never Say Never Again,0,1983,,134.0,"Action,Adventure,Thriller",Action,Adventure,Thriller,https://www.imdb.com/title/tt0086006,6.2,61644,68,UK,English,Color,"$36,000,000","$10,958,157,","$55,432,841","$55,432,841",Sean Connery ist James Bond 007 [Sean Connery is James Bond 007] [German poster],"A S.P.E.C.T.R.E. Agent has stolen two American nuclear warheads, and James Bond must find their targets before they are detonated.","https://m.media-amazon.com/images/M/MV5BMTM1NjgzMDkwOF5BMl5BanBnXkFtZTcwMzM4NzI0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0086034,movie,Octopussy,Octopussy,0,1983,,131.0,"Action,Adventure,Thriller",Action,Adventure,Thriller,https://www.imdb.com/title/tt0086034,6.6,95127,63,UK,English,Color,"$27,500,000","$8,902,564,","$67,893,619","$67,893,619",Nobody does him better.,"A fake Fabergé egg, and a fellow Agent's death, lead James Bond to uncover an international jewel-smuggling operation, headed by the mysterious Octopussy, being used to disguise a nuclear attack on N.A.T.O. forces.","https://m.media-amazon.com/images/M/MV5BMjI2MDE0NjE1NV5BMl5BanBnXkFtZTcwNjYyMzY0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0086066,movie,The Outsiders,The Outsiders,0,1983,,91.0,"Crime,Drama",Crime,Drama,,https://www.imdb.com/title/tt0086066,7.1,75129,41,USA,English,Color,"$10,000,000","$5,068,165,","$25,697,647","$25,697,647",They grew up on the outside of society.  They weren't looking for a fight.  They were looking to belong.,"The rivalry between two gangs, the poor Greasers and the rich Socs, only heats up when one gang member kills a member of the other.","https://m.media-amazon.com/images/M/MV5BY2E4Njk4N2UtZWFhOS00NzczLWFmNDgtMzdhMjFlNTZjMmVhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,0,1983,,131.0,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,https://www.imdb.com/title/tt0086190,8.3,945327,58,USA,English,Color,"$32,500,000","$23,019,618,","$309,306,177","$475,106,177",The Empire Falls....,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.","https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0086197,movie,The Right Stuff,The Right Stuff,0,1983,,193.0,"Adventure,Biography,Drama",Adventure,Biography,Drama,https://www.imdb.com/title/tt0086197,7.8,56071,91,USA,English,Color,"$27,000,000","$1,601,167,","$21,192,102","$21,192,315",How the future began.,"The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.","https://m.media-amazon.com/images/M/MV5BOTUwMDA3MTYtZjhjMi00ODFmLTg5ZTAtYzgwN2NlODgzMmUwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0086200,movie,Risky Business,Risky Business,0,1983,,99.0,"Comedy,Crime,Drama",Comedy,Crime,Drama,https://www.imdb.com/title/tt0086200,6.8,80641,75,USA,English,Color,"$6,200,000","$4,275,327,","$63,541,777","$63,541,777",There's a time for playing it safe and a time for Risky Business.,"A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand.","https://m.media-amazon.com/images/M/MV5BMjVhNDE4YmQtNzBlMy00YTdkLTkwNTEtZGRmMDVkMmYwYjA5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0086216,movie,Rumble Fish,Rumble Fish,0,1983,,94.0,"Crime,Drama,Romance",Crime,Drama,Romance,https://www.imdb.com/title/tt0086216,7.2,31677,63,USA,English,Black and White,"$10,000,000","$18,985,","$2,494,480","$2,494,480",Rusty James can't live up to his brother's reputation. His brother can't live it down.,"Rusty James, an absent-minded street thug struggles to live up to his legendary older brother's reputation, and longs for the days when gang warfare was going on.","https://m.media-amazon.com/images/M/MV5BYjVkNjczZDEtZGQyZS00ZWUyLWFmMzctMzE5YjM1YTczZTE3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg"
